Region,Country,Year,Month_nbr,Quarter_desc,Month_desc,Product_line,Sale_Amount,Sale_Plan
America,Mexico,2007,1,Q1,January,Home,148,1157
America,Mexico,2008,1,Q1,January,Grossery,744,6043
America,Mexico,2009,1,Q1,January,Electronics,906,8705
America,Mexico,2010,1,Q1,January,Electronics,597,5851
America,Mexico,2011,1,Q1,January,Hardware,144,5474
America,Mexico,2012,1,Q1,January,Computers,930,3394
America,Mexico,2013,1,Q1,January,Furniture,462,8604
America,Mexico,2014,1,Q1,January,Home,544,9549
America,Mexico,2015,1,Q1,January,Grossery,372,3332
America,Mexico,2016,1,Q1,January,Electronics,647,5324
America,Mexico,2017,1,Q1,January,Electronics,607,7481
America,Mexico,1960,2,Q1,February,Electronics,675,4777
America,Mexico,1961,2,Q1,February,Electronics,398,2740
America,Mexico,1962,2,Q1,February,Hardware,719,771
America,Mexico,1963,2,Q1,February,Computers,685,6771
America,Mexico,1964,2,Q1,February,Furniture,532,7228
America,Mexico,1965,2,Q1,February,Home,152,208
America,Mexico,1966,2,Q1,February,Grossery,499,358
America,Mexico,1967,2,Q1,February,Electronics,394,9844
America,Mexico,1968,2,Q1,February,Electronics,732,2522
America,Mexico,1969,2,Q1,February,Hardware,102,9579
America,Mexico,1970,2,Q1,February,Computers,824,7389
America,Mexico,1971,2,Q1,February,Furniture,793,9757
America,Mexico,1972,2,Q1,February,Home,100,1531
America,Mexico,1973,2,Q1,February,Grossery,144,1254
America,Mexico,1974,2,Q1,February,Electronics,979,3516
America,Mexico,1975,2,Q1,February,Electronics,550,4071
America,Mexico,1976,2,Q1,February,Hardware,700,6251
America,Mexico,1977,2,Q1,February,Computers,320,9289
America,Mexico,1978,2,Q1,February,Furniture,417,1310
America,Mexico,1979,2,Q1,February,Home,230,7151
America,Mexico,1980,2,Q1,February,Grossery,156,4917
America,Mexico,1981,2,Q1,February,Electronics,609,5334
America,Mexico,1982,2,Q1,February,Electronics,936,863
America,Mexico,1983,2,Q1,February,Hardware,295,174
America,Mexico,1984,2,Q1,February,Computers,936,7094
America,Mexico,1985,2,Q1,February,Furniture,567,9585
America,Mexico,1986,2,Q1,February,Home,567,1053
America,Mexico,1987,2,Q1,February,Grossery,145,9389
America,Mexico,1988,2,Q1,February,Electronics,108,4465
America,Mexico,1989,2,Q1,February,Electronics,965,6091
America,Mexico,1990,2,Q1,February,Hardware,975,3573
America,Mexico,1991,2,Q1,February,Computers,299,3442
America,Mexico,1992,2,Q1,February,Furniture,475,7171
America,Mexico,1993,2,Q1,February,Home,771,7138
America,Mexico,1994,2,Q1,February,Grossery,378,1258
America,Mexico,1995,2,Q1,February,Electronics,210,3332
America,Mexico,1996,2,Q1,February,Electronics,291,6310
America,Mexico,1997,2,Q1,February,Hardware,502,1448
America,Mexico,1998,2,Q1,February,Computers,523,9725
America,Mexico,1999,2,Q1,February,Furniture,270,4092
America,Mexico,2000,2,Q1,February,Home,524,7221
America,Mexico,2001,2,Q1,February,Grossery,900,4584
America,Mexico,2002,2,Q1,February,Electronics,547,7060
America,Mexico,2003,2,Q1,February,Electronics,384,8848
America,Mexico,2004,2,Q1,February,Hardware,626,9585
America,Mexico,2005,2,Q1,February,Computers,382,4897
America,Mexico,2006,2,Q1,February,Furniture,512,2902
America,Mexico,2007,2,Q1,February,Home,654,8168
America,Mexico,2008,2,Q1,February,Grossery,172,6030
America,Mexico,2009,2,Q1,February,Electronics,388,1827
America,Mexico,2010,2,Q1,February,Electronics,397,5581
America,Mexico,2011,2,Q1,February,Hardware,875,8606
America,Mexico,2012,2,Q1,February,Computers,179,1088
America,Mexico,2013,2,Q1,February,Furniture,486,9800
America,Mexico,2014,2,Q1,February,Home,609,6569
America,Mexico,2015,2,Q1,February,Grossery,475,412
America,Mexico,2016,2,Q1,February,Electronics,661,8814
America,Mexico,2017,2,Q1,February,Electronics,804,4095
America,Mexico,1960,3,Q1,March,Electronics,187,3537
America,Mexico,1961,3,Q1,March,Electronics,385,9270
America,Mexico,1962,3,Q1,March,Hardware,490,9163
America,Mexico,1963,3,Q1,March,Computers,395,9820
America,Mexico,1964,3,Q1,March,Furniture,501,6816
America,Mexico,1965,3,Q1,March,Home,315,467
America,Mexico,1966,3,Q1,March,Grossery,582,4680
America,Mexico,1967,3,Q1,March,Electronics,945,8913
America,Mexico,1968,3,Q1,March,Electronics,419,3076
America,Mexico,1969,3,Q1,March,Hardware,609,9414
America,Mexico,1970,3,Q1,March,Computers,946,8563
America,Mexico,1971,3,Q1,March,Furniture,339,8465
America,Mexico,1972,3,Q1,March,Home,1000,4505
America,Mexico,1973,3,Q1,March,Grossery,1000,2681
America,Mexico,1974,3,Q1,March,Electronics,852,157
America,Mexico,1975,3,Q1,March,Electronics,501,1092
America,Mexico,1976,3,Q1,March,Hardware,595,3638
America,Mexico,1977,3,Q1,March,Computers,977,8921
America,Mexico,1978,3,Q1,March,Furniture,749,4871
America,Mexico,1979,3,Q1,March,Home,915,5007
America,Mexico,1980,3,Q1,March,Grossery,748,7491
America,Mexico,1981,3,Q1,March,Electronics,514,1517
America,Mexico,1982,3,Q1,March,Electronics,904,3645
America,Mexico,1983,3,Q1,March,Hardware,976,6774
America,Mexico,1984,3,Q1,March,Computers,302,5775
America,Mexico,1985,3,Q1,March,Furniture,323,6600
America,Mexico,1986,3,Q1,March,Home,482,9578
America,Mexico,1987,3,Q1,March,Grossery,305,9926
America,Mexico,1988,3,Q1,March,Electronics,923,6813
America,Mexico,1989,3,Q1,March,Electronics,271,4967
America,Mexico,1990,3,Q1,March,Hardware,354,9054
America,Mexico,1991,3,Q1,March,Computers,877,2440
America,Mexico,1992,3,Q1,March,Furniture,931,3188
America,Mexico,1993,3,Q1,March,Home,176,7894
America,Mexico,1994,3,Q1,March,Grossery,660,772
America,Mexico,1995,3,Q1,March,Electronics,733,5966
America,Mexico,1996,3,Q1,March,Electronics,745,4377
America,Mexico,1997,3,Q1,March,Hardware,609,7198
America,Mexico,1998,3,Q1,March,Computers,274,5247
America,Mexico,1999,3,Q1,March,Furniture,389,4674
America,Mexico,2000,3,Q1,March,Home,624,2549
America,Mexico,2001,3,Q1,March,Grossery,417,8994
America,Mexico,2002,3,Q1,March,Electronics,840,7374
America,Mexico,2003,3,Q1,March,Electronics,172,8114
America,Mexico,2004,3,Q1,March,Hardware,204,6706
America,Mexico,2005,3,Q1,March,Computers,874,4353
America,Mexico,2006,3,Q1,March,Furniture,679,4168
America,Mexico,2007,3,Q1,March,Home,293,3127
America,Mexico,2008,3,Q1,March,Grossery,735,3546
America,Mexico,2009,3,Q1,March,Electronics,177,6077
America,Mexico,2010,3,Q1,March,Electronics,962,5551
America,Mexico,2011,3,Q1,March,Hardware,314,1751
America,Mexico,2012,3,Q1,March,Computers,793,4692
America,Mexico,2013,3,Q1,March,Furniture,732,9686
America,Mexico,2014,3,Q1,March,Home,207,9222
America,Mexico,2015,3,Q1,March,Grossery,835,2065
America,Mexico,2016,3,Q1,March,Electronics,112,9084
America,Mexico,2017,3,Q1,March,Electronics,368,3592
America,Mexico,1960,4,Q2,April,Electronics,669,8391
America,Mexico,1961,4,Q2,April,Electronics,607,4330
America,Mexico,1962,4,Q2,April,Hardware,781,2602
America,Mexico,1963,4,Q2,April,Computers,480,2894
America,Mexico,1964,4,Q2,April,Furniture,696,3749
America,Mexico,1965,4,Q2,April,Home,568,9792
America,Mexico,1966,4,Q2,April,Grossery,869,5220
America,Mexico,1967,4,Q2,April,Electronics,629,1051
America,Mexico,1968,4,Q2,April,Electronics,477,7312
America,Mexico,1969,4,Q2,April,Hardware,576,190
America,Mexico,1970,4,Q2,April,Computers,624,4992
America,Mexico,1971,4,Q2,April,Furniture,516,3397
America,Mexico,1972,4,Q2,April,Home,637,1442
America,Mexico,1973,4,Q2,April,Grossery,516,2967
America,Mexico,1974,4,Q2,April,Electronics,363,9967
America,Mexico,1975,4,Q2,April,Electronics,450,2383
America,Mexico,1976,4,Q2,April,Hardware,461,9029
America,Mexico,1977,4,Q2,April,Computers,398,4247
America,Mexico,1978,4,Q2,April,Furniture,824,533
America,Mexico,1979,4,Q2,April,Home,981,7126
America,Mexico,1980,4,Q2,April,Grossery,994,799
America,Mexico,1981,4,Q2,April,Electronics,690,4967
America,Mexico,1982,4,Q2,April,Electronics,255,7579
America,Mexico,1983,4,Q2,April,Hardware,704,3929
America,Mexico,1984,4,Q2,April,Computers,414,9063
America,Mexico,1985,4,Q2,April,Furniture,363,312
America,Mexico,1986,4,Q2,April,Home,939,1609
America,Mexico,1987,4,Q2,April,Grossery,130,5274
America,Mexico,1988,4,Q2,April,Electronics,802,8018
America,Mexico,1989,4,Q2,April,Electronics,397,2347
America,Mexico,1990,4,Q2,April,Hardware,787,2044
America,Mexico,1991,4,Q2,April,Computers,216,4260
America,Mexico,1992,4,Q2,April,Furniture,279,5984
America,Mexico,1993,4,Q2,April,Home,176,8044
America,Mexico,1994,4,Q2,April,Grossery,132,9407
America,Mexico,1995,4,Q2,April,Electronics,147,9051
America,Mexico,1996,4,Q2,April,Electronics,879,9725
America,Mexico,1997,4,Q2,April,Hardware,651,7467
America,Mexico,1998,4,Q2,April,Computers,243,4676
America,Mexico,1999,4,Q2,April,Furniture,532,4655
America,Mexico,2000,4,Q2,April,Home,465,3866
America,Mexico,2001,4,Q2,April,Grossery,934,8072
America,Mexico,2002,4,Q2,April,Electronics,363,8160
America,Mexico,2003,4,Q2,April,Electronics,701,596
America,Mexico,2004,4,Q2,April,Hardware,872,7696
America,Mexico,2005,4,Q2,April,Computers,513,2284
America,Mexico,2006,4,Q2,April,Furniture,937,7710
America,Mexico,2007,4,Q2,April,Home,623,6790
America,Mexico,2008,4,Q2,April,Grossery,547,6841
America,Mexico,2009,4,Q2,April,Electronics,394,8251
America,Mexico,2010,4,Q2,April,Electronics,344,5987
America,Mexico,2011,4,Q2,April,Hardware,211,2396
America,Mexico,2012,4,Q2,April,Computers,702,5235
America,Mexico,2013,4,Q2,April,Furniture,860,8162
America,Mexico,2014,4,Q2,April,Home,726,2176
America,Mexico,2015,4,Q2,April,Grossery,931,7331
America,Mexico,2016,4,Q2,April,Electronics,930,1656
America,Mexico,2017,4,Q2,April,Electronics,342,1437
America,Mexico,1960,5,Q2,May,Electronics,665,8292
America,Mexico,1961,5,Q2,May,Electronics,485,3562
America,Mexico,1962,5,Q2,May,Hardware,968,9037
America,Mexico,1963,5,Q2,May,Computers,832,5756
America,Mexico,1964,5,Q2,May,Furniture,654,9137
America,Mexico,1965,5,Q2,May,Home,683,1504
America,Mexico,1966,5,Q2,May,Grossery,837,7149
America,Mexico,1967,5,Q2,May,Electronics,148,3684
America,Mexico,1968,5,Q2,May,Electronics,391,8949
America,Mexico,1969,5,Q2,May,Hardware,317,3213
America,Mexico,1970,5,Q2,May,Computers,296,9227
America,Mexico,1971,5,Q2,May,Furniture,630,7065
America,Mexico,1972,5,Q2,May,Home,861,3086
America,Mexico,1973,5,Q2,May,Grossery,370,8136
America,Mexico,1974,5,Q2,May,Electronics,550,6020
America,Mexico,1975,5,Q2,May,Electronics,181,1704
America,Mexico,1976,5,Q2,May,Hardware,973,7023
America,Mexico,1977,5,Q2,May,Computers,650,1490
America,Mexico,1978,5,Q2,May,Furniture,573,3216
America,Mexico,1979,5,Q2,May,Home,570,6759
America,Mexico,1980,5,Q2,May,Grossery,227,4875
America,Mexico,1981,5,Q2,May,Electronics,609,9876
America,Mexico,1982,5,Q2,May,Electronics,108,7220
America,Mexico,1983,5,Q2,May,Hardware,456,4971
America,Mexico,1984,5,Q2,May,Computers,745,9717
America,Mexico,1985,5,Q2,May,Furniture,206,5089
America,Mexico,1986,5,Q2,May,Home,244,1977
America,Mexico,1987,5,Q2,May,Grossery,929,9286
America,Mexico,1988,5,Q2,May,Electronics,125,3593
America,Mexico,1989,5,Q2,May,Electronics,535,8780
America,Mexico,1990,5,Q2,May,Hardware,668,1053
America,Mexico,1991,5,Q2,May,Computers,199,4784
America,Mexico,1992,5,Q2,May,Furniture,166,6786
America,Mexico,1993,5,Q2,May,Home,789,943
America,Mexico,1994,5,Q2,May,Grossery,619,7668
America,Mexico,1995,5,Q2,May,Electronics,949,5239
America,Mexico,1996,5,Q2,May,Electronics,419,6428
America,Mexico,1997,5,Q2,May,Hardware,227,9686
America,Mexico,1998,5,Q2,May,Computers,633,1483
America,Mexico,1999,5,Q2,May,Furniture,124,6193
America,Mexico,2000,5,Q2,May,Home,194,5440
America,Mexico,2001,5,Q2,May,Grossery,131,9357
America,Mexico,2002,5,Q2,May,Electronics,564,5038
America,Mexico,2003,5,Q2,May,Electronics,599,8802
America,Mexico,2004,5,Q2,May,Hardware,579,9443
America,Mexico,2005,5,Q2,May,Computers,304,2649
America,Mexico,2006,5,Q2,May,Furniture,905,301
America,Mexico,2007,5,Q2,May,Home,104,6214
America,Mexico,2008,5,Q2,May,Grossery,943,8221
America,Mexico,2009,5,Q2,May,Electronics,659,1664
America,Mexico,2010,5,Q2,May,Electronics,557,2391
America,Mexico,2011,5,Q2,May,Hardware,609,1145
America,Mexico,2012,5,Q2,May,Computers,692,1352
America,Mexico,2013,5,Q2,May,Furniture,257,2473
America,Mexico,2014,5,Q2,May,Home,105,2600
America,Mexico,2015,5,Q2,May,Grossery,438,6275
America,Mexico,2016,5,Q2,May,Electronics,996,5881
America,Mexico,2017,5,Q2,May,Electronics,388,3246
America,Mexico,1960,6,Q2,June,Electronics,547,9820
America,Mexico,1961,6,Q2,June,Electronics,363,9970
America,Mexico,1962,6,Q2,June,Hardware,806,4100
America,Mexico,1963,6,Q2,June,Computers,862,3358
America,Mexico,1964,6,Q2,June,Furniture,292,9813
America,Mexico,1965,6,Q2,June,Home,459,7356
America,Mexico,1966,6,Q2,June,Grossery,665,2407
America,Mexico,1967,6,Q2,June,Electronics,733,4270
America,Mexico,1968,6,Q2,June,Electronics,590,4762
America,Mexico,1969,6,Q2,June,Hardware,447,8766
America,Mexico,1970,6,Q2,June,Computers,506,2815
America,Mexico,1971,6,Q2,June,Furniture,221,4918
America,Mexico,1972,6,Q2,June,Home,358,1117
America,Mexico,1973,6,Q2,June,Grossery,625,3088
America,Mexico,1974,6,Q2,June,Electronics,742,188
America,Mexico,1975,6,Q2,June,Electronics,241,2611
America,Mexico,1976,6,Q2,June,Hardware,388,5348
America,Mexico,1977,6,Q2,June,Computers,920,5114
America,Mexico,1978,6,Q2,June,Furniture,494,6942
America,Mexico,1979,6,Q2,June,Home,285,8559
America,Mexico,1980,6,Q2,June,Grossery,979,4632
America,Mexico,1981,6,Q2,June,Electronics,603,9852
America,Mexico,1982,6,Q2,June,Electronics,771,3982
America,Mexico,1983,6,Q2,June,Hardware,242,5073
America,Mexico,1984,6,Q2,June,Computers,409,9793
America,Mexico,1985,6,Q2,June,Furniture,493,3559
America,Mexico,1986,6,Q2,June,Home,447,5362
America,Mexico,1987,6,Q2,June,Grossery,398,6412
America,Mexico,1988,6,Q2,June,Electronics,653,9997
America,Mexico,1989,6,Q2,June,Electronics,442,9274
America,Mexico,1990,6,Q2,June,Hardware,198,7785
America,Mexico,1991,6,Q2,June,Computers,488,5162
America,Mexico,1992,6,Q2,June,Furniture,488,8999
America,Mexico,1993,6,Q2,June,Home,803,7027
America,Mexico,1994,6,Q2,June,Grossery,598,7666
America,Mexico,1995,6,Q2,June,Electronics,776,7909
America,Mexico,1996,6,Q2,June,Electronics,955,9712
America,Mexico,1997,6,Q2,June,Hardware,663,6440
America,Mexico,1998,6,Q2,June,Computers,978,2194
America,Mexico,1999,6,Q2,June,Furniture,686,9128
America,Mexico,2000,6,Q2,June,Home,178,5261
America,Mexico,2001,6,Q2,June,Grossery,801,3886
America,Mexico,2002,6,Q2,June,Electronics,648,6780
America,Mexico,2003,6,Q2,June,Electronics,919,6472
America,Mexico,2004,6,Q2,June,Hardware,669,9994
America,Mexico,2005,6,Q2,June,Computers,184,3784
America,Mexico,2006,6,Q2,June,Furniture,732,8678
America,Mexico,2007,6,Q2,June,Home,388,1069
America,Mexico,2008,6,Q2,June,Grossery,477,699
America,Mexico,2009,6,Q2,June,Electronics,787,6818
America,Mexico,2010,6,Q2,June,Electronics,392,217
America,Mexico,2011,6,Q2,June,Hardware,866,4670
America,Mexico,2012,6,Q2,June,Computers,323,7527
America,Mexico,2013,6,Q2,June,Furniture,969,7683
America,Mexico,2014,6,Q2,June,Home,705,7284
America,Mexico,2015,6,Q2,June,Grossery,740,4144
America,Mexico,2016,6,Q2,June,Electronics,295,644
America,Mexico,2017,6,Q2,June,Electronics,917,2876
America,Mexico,1960,7,Q3,July,Electronics,431,7963
America,Mexico,1961,7,Q3,July,Electronics,700,562
America,Mexico,1962,7,Q3,July,Hardware,525,6586
America,Mexico,1963,7,Q3,July,Computers,793,9291
America,Mexico,1964,7,Q3,July,Furniture,983,7061
America,Mexico,1965,7,Q3,July,Home,103,9243
America,Mexico,1966,7,Q3,July,Grossery,255,6259
America,Mexico,1967,7,Q3,July,Electronics,435,7035
America,Mexico,1968,7,Q3,July,Electronics,706,2775
America,Mexico,1969,7,Q3,July,Hardware,191,7034
America,Mexico,1970,7,Q3,July,Computers,137,667
America,Mexico,1971,7,Q3,July,Furniture,368,7151
America,Mexico,1972,7,Q3,July,Home,159,5194
America,Mexico,1973,7,Q3,July,Grossery,469,865
America,Mexico,1974,7,Q3,July,Electronics,617,6858
America,Mexico,1975,7,Q3,July,Electronics,520,2022
America,Mexico,1976,7,Q3,July,Hardware,923,8525
America,Mexico,1977,7,Q3,July,Computers,811,1462
America,Mexico,1978,7,Q3,July,Furniture,838,4959
America,Mexico,1979,7,Q3,July,Home,178,809
America,Mexico,1980,7,Q3,July,Grossery,473,3766
America,Mexico,1981,7,Q3,July,Electronics,314,5283
America,Mexico,1982,7,Q3,July,Electronics,942,3614
America,Mexico,1983,7,Q3,July,Hardware,107,6020
America,Mexico,1984,7,Q3,July,Computers,243,1440
America,Mexico,1985,7,Q3,July,Furniture,738,6498
America,Mexico,1986,7,Q3,July,Home,885,2838
America,Mexico,1987,7,Q3,July,Grossery,979,2017
America,Mexico,1988,7,Q3,July,Electronics,251,611
America,Mexico,1989,7,Q3,July,Electronics,431,5289
America,Mexico,1990,7,Q3,July,Hardware,287,6578
America,Mexico,1991,7,Q3,July,Computers,810,7602
America,Mexico,1992,7,Q3,July,Furniture,519,9069
America,Mexico,1993,7,Q3,July,Home,564,9501
America,Mexico,1994,7,Q3,July,Grossery,294,2672
America,Mexico,1995,7,Q3,July,Electronics,178,6204
America,Mexico,1996,7,Q3,July,Electronics,631,5095
America,Mexico,1997,7,Q3,July,Hardware,889,7115
America,Mexico,1998,7,Q3,July,Computers,356,7340
America,Mexico,1999,7,Q3,July,Furniture,909,3941
America,Mexico,2000,7,Q3,July,Home,914,1989
America,Mexico,2001,7,Q3,July,Grossery,670,4687
America,Mexico,2002,7,Q3,July,Electronics,728,6791
America,Mexico,2003,7,Q3,July,Electronics,506,4420
America,Mexico,2004,7,Q3,July,Hardware,229,6355
America,Mexico,2005,7,Q3,July,Computers,607,518
America,Mexico,2006,7,Q3,July,Furniture,645,971
America,Mexico,2007,7,Q3,July,Home,517,5917
America,Mexico,2008,7,Q3,July,Grossery,248,8988
America,Mexico,2009,7,Q3,July,Electronics,724,7878
America,Mexico,2010,7,Q3,July,Electronics,477,334
America,Mexico,2011,7,Q3,July,Hardware,240,758
America,Mexico,2012,7,Q3,July,Computers,943,4476
America,Mexico,2013,7,Q3,July,Furniture,225,3873
America,Mexico,2014,7,Q3,July,Home,754,5085
America,Mexico,2015,7,Q3,July,Grossery,615,2504
America,Mexico,2016,7,Q3,July,Electronics,177,5076
America,Mexico,2017,7,Q3,July,Electronics,252,9179
America,Mexico,1960,8,Q3,August,Electronics,459,9447
America,Mexico,1961,8,Q3,August,Electronics,207,3300
America,Mexico,1962,8,Q3,August,Hardware,270,4136
America,Mexico,1963,8,Q3,August,Computers,653,5556
America,Mexico,1964,8,Q3,August,Furniture,177,7989
America,Mexico,1965,8,Q3,August,Home,395,2944
America,Mexico,1966,8,Q3,August,Grossery,643,5107
America,Mexico,1967,8,Q3,August,Electronics,316,8647
America,Mexico,1968,8,Q3,August,Electronics,452,4478
America,Mexico,1969,8,Q3,August,Hardware,542,4741
America,Mexico,1970,8,Q3,August,Computers,530,3355
America,Mexico,1971,8,Q3,August,Furniture,252,9468
America,Mexico,1972,8,Q3,August,Home,737,2941
America,Mexico,1973,8,Q3,August,Grossery,505,5507
America,Mexico,1974,8,Q3,August,Electronics,630,7170
America,Mexico,1975,8,Q3,August,Electronics,1000,4242
America,Mexico,1976,8,Q3,August,Hardware,930,720
America,Mexico,1977,8,Q3,August,Computers,751,2800
America,Mexico,1978,8,Q3,August,Furniture,450,6234
America,Mexico,1979,8,Q3,August,Home,209,8647
America,Mexico,1980,8,Q3,August,Grossery,424,5690
America,Mexico,1981,8,Q3,August,Electronics,119,9722
America,Mexico,1982,8,Q3,August,Electronics,102,5339
America,Mexico,1983,8,Q3,August,Hardware,874,3020
America,Mexico,1984,8,Q3,August,Computers,705,4775
America,Mexico,1985,8,Q3,August,Furniture,910,2996
America,Mexico,1986,8,Q3,August,Home,663,5160
America,Mexico,1987,8,Q3,August,Grossery,222,876
America,Mexico,1988,8,Q3,August,Electronics,644,873
America,Mexico,1989,8,Q3,August,Electronics,157,2821
America,Mexico,1990,8,Q3,August,Hardware,441,4481
America,Mexico,1991,8,Q3,August,Computers,763,4287
America,Mexico,1992,8,Q3,August,Furniture,616,6788
America,Mexico,1993,8,Q3,August,Home,112,4784
America,Mexico,1994,8,Q3,August,Grossery,411,2828
America,Mexico,1995,8,Q3,August,Electronics,268,9366
America,Mexico,1996,8,Q3,August,Electronics,566,5952
America,Mexico,1997,8,Q3,August,Hardware,357,3290
America,Mexico,1998,8,Q3,August,Computers,106,9202
America,Mexico,1999,8,Q3,August,Furniture,479,5764
America,Mexico,2000,8,Q3,August,Home,471,1251
America,Mexico,2001,8,Q3,August,Grossery,715,2050
America,Mexico,2002,8,Q3,August,Electronics,896,6770
America,Mexico,2003,8,Q3,August,Electronics,521,8940
America,Mexico,2004,8,Q3,August,Hardware,369,1817
America,Mexico,2005,8,Q3,August,Computers,294,7891
America,Mexico,2006,8,Q3,August,Furniture,875,2109
America,Mexico,2007,8,Q3,August,Home,702,817
America,Mexico,2008,8,Q3,August,Grossery,570,5991
America,Mexico,2009,8,Q3,August,Electronics,399,2842
America,Mexico,2010,8,Q3,August,Electronics,835,3759
America,Mexico,2011,8,Q3,August,Hardware,730,5939
America,Mexico,2012,8,Q3,August,Computers,547,5262
America,Mexico,2013,8,Q3,August,Furniture,124,3959
America,Mexico,2014,8,Q3,August,Home,653,8691
America,Mexico,2015,8,Q3,August,Grossery,900,8463
America,Mexico,2016,8,Q3,August,Electronics,627,9685
America,Mexico,2017,8,Q3,August,Electronics,811,5006
America,Mexico,1960,9,Q3,September,Electronics,636,4424
America,Mexico,1961,9,Q3,September,Electronics,257,4899
America,Mexico,1962,9,Q3,September,Hardware,139,4798
America,Mexico,1963,9,Q3,September,Computers,542,6944
America,Mexico,1964,9,Q3,September,Furniture,665,5249
America,Mexico,1965,9,Q3,September,Home,455,8253
America,Mexico,1966,9,Q3,September,Grossery,548,329
America,Mexico,1967,9,Q3,September,Electronics,490,8536
America,Mexico,1968,9,Q3,September,Electronics,274,3261
America,Mexico,1969,9,Q3,September,Hardware,421,1598
America,Mexico,1970,9,Q3,September,Computers,643,5996
America,Mexico,1971,9,Q3,September,Furniture,256,560
America,Mexico,1972,9,Q3,September,Home,434,1611
America,Mexico,1973,9,Q3,September,Grossery,773,8419
America,Mexico,1974,9,Q3,September,Electronics,903,4699
America,Mexico,1975,9,Q3,September,Electronics,289,8549
America,Mexico,1976,9,Q3,September,Hardware,823,3668
America,Mexico,1977,9,Q3,September,Computers,800,1980
America,Mexico,1978,9,Q3,September,Furniture,401,8205
America,Mexico,1979,9,Q3,September,Home,715,2932
America,Mexico,1980,9,Q3,September,Grossery,881,3067
America,Mexico,1981,9,Q3,September,Electronics,961,9048
America,Mexico,1982,9,Q3,September,Electronics,721,5036
America,Mexico,1983,9,Q3,September,Hardware,449,7473
America,Mexico,1984,9,Q3,September,Computers,597,6275
America,Mexico,1985,9,Q3,September,Furniture,143,8701
America,Mexico,1986,9,Q3,September,Home,393,1324
America,Mexico,1987,9,Q3,September,Grossery,367,8403
America,Mexico,1988,9,Q3,September,Electronics,855,7794
America,Mexico,1989,9,Q3,September,Electronics,144,1494
America,Mexico,1990,9,Q3,September,Hardware,614,7278
America,Mexico,1991,9,Q3,September,Computers,260,876
America,Mexico,1992,9,Q3,September,Furniture,813,450
America,Mexico,1993,9,Q3,September,Home,562,7708
America,Mexico,1994,9,Q3,September,Grossery,834,7267
America,Mexico,1995,9,Q3,September,Electronics,386,3612
America,Mexico,1996,9,Q3,September,Electronics,771,4870
America,Mexico,1997,9,Q3,September,Hardware,927,1477
America,Mexico,1998,9,Q3,September,Computers,950,1673
America,Mexico,1999,9,Q3,September,Furniture,207,110
America,Mexico,2000,9,Q3,September,Home,878,3055
